"text","positive","negative"
" Sooo SAD I will miss you here in San Diego!!!","0","1"
"my boss is bullying me...","0","1"
" what interview! leave me alone","0","1"
"http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth","0","0"
"2am feedings for the baby are fun when he is all smiles and coos","1","0"
"Soooo high","0","0"
" Both of you","0","0"
" Journey!? Wow... u just became cooler.  hehe... (is that possible!?)","1","0"
"I really really like the song Love Story by Taylor Swift","1","0"
"My Sharpie is running DANGERously low on ink","0","1"
"i want to go to music tonight but i lost my voice.","0","1"
"test test from the LG enV2","0","0"
"is back home now      gonna miss every one","0","1"
"Hes just not that into you","0","0"
"Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet","1","0"
"is cleaning the house for her family who is comming later today..","0","0"
"gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness","0","0"
"SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH","0","0"
"  I`m sorry.","0","1"
"On the way to Malaysia...no internet access to Twit","0","1"
"juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?","1","0"
"Went to sleep and there is a power cut in Noida  Power back up not working too","0","1"
"I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?","1","0"
"i hope unni will make the audition . fighting dahye unni !","1","0"
" If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.","0","1"
" That`s very funny.  Cute kids.","1","0"
"Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY","0","1"
"i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....","0","1"
"im an avid fan of **** magazine and i love your magazines","1","0"
"MAYDAY?!","0","0"
" I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½","1","0"
"The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?","0","0"
"egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!","0","1"
":visiting my friendster and facebook","0","0"
" which case? I got a new one last week and I`m not thrilled at all with mine.","0","1"
" Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter","0","0"
" hm... Both of us I guess...","0","0"
" it is ****...u have dissappointed me that past few days","0","1"
" romance zero is funny","1","0"
" I`d rather do the early run..but I am a morning runner","0","0"
"Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now","0","1"
"will be back later.  http://plurk.com/p/rp3k7","0","0"
"Aw. Torn ace of hearts  #Hunchback","0","1"
" what fun are you speaking of?","0","0"
" haha yes","0","0"
"I give in to easily","0","1"
"What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red","1","0"
"mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR","0","1"
"Is at a photoshoot.","0","0"
"  He`s awesome... Have you worked with him before? He`s a good friend.","1","0"
"Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing","0","0"
"Chilliin","1","0"
"I still smell of smoke  #kitchenfire","0","0"
" a celtics-lakers rematch sounds better don`t you think? lol","1","0"
" she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no","0","0"
"OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight","0","0"
" My sources say no","0","0"
"I am sooo tired","0","1"
" THANK YYYYYYYYYOOOOOOOOOOUUUUU!","1","0"
" lucky kid...i so wanna see loserville  pity im in oz....","1","0"
"fell asleep waiting for my ride!","0","0"
"Sick. With a flu like thing.","0","1"
"Happy Star Wars day everyone! and Enjoy the holiday (UK)","1","0"
" Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.","0","0"
"i miss you bby      wish you were going tomorrow to make me do good.","0","1"
" Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded","1","0"
" SWEEEEET - San Fran is awesome!!!!  Love it there","1","0"
"_Mounce yes and it lasts way past my bedtime!","0","0"
" Hi  how are you doing ???  *just joined twitter...*","0","0"
"waiting for sleeping pills to kick in... gonna be so tired at work tomorrow","0","1"
"eating ice cream and then getting ready for graduation.","0","0"
"Happy Mothers day to all you Mums out there","1","0"
" hemp cloth is marvelous but unfortunately no","0","1"
"Gonna read a story bout adam lambert online then bed. Nighty night","0","0"
" We saw that in none 3D - the baddie`s the best","1","0"
"4am. And Im on the beach. Pretty","1","0"
"i realy wanted to go out cause its so nice but everybodys busy","0","1"
" Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.","1","0"
"at least I get to watch over time  Let`s go Pens!!","0","0"
" cool i wear black most of the time when i go out","0","0"
" haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****","1","0"
" have a safe trip joshy poo.......you`ll knock them dead at your speech","1","0"
"if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment","0","0"
"  has tickets.......?","0","0"
" ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?","0","0"
"So many tests todayyy  I don`t feel confident about anyy.","0","1"
"graduation is done  im a little sad.. anyone want to hang out???","0","1"
" hahaa your awesomee !","1","0"
"holy smokes! star trek was freaking awesomeeeee","1","0"
"What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha","0","0"
"not well","0","1"
" Not a prob hun","1","0"
" Absolutely","0","0"
" what`s the matter chickadee?","0","0"
" hey mia!  totally adore your music.  when will your cd be out?","1","0"
" =O you need to ask him something? Lmao I love him too","1","0"
" those splinters look very painful...but you were being very heroic saving mr. Pickle","0","1"
" why are you sad?","0","1"
" Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom","1","0"
"decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....","1","0"
" Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !","0","0"
"Humous and Dorito`s.... Oh yes","0","0"
"Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink","0","0"
"Hate fighting","0","1"
"Car-warmed Sprite tastes like sore throat","0","1"
"Just came 11th in cross country and beat dumbo","0","0"
"Candle wax is very enjoyable.","1","0"
"tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it","0","0"
"goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?","1","0"
" me too. I hate my computer so much..","0","1"
" fine! Going to do my big walk today 20 or so miles","1","0"
"I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!","0","1"
"Mmmmmmmm... ? it in the morning","0","0"
" me neither","0","0"
"Bugger. forgot I still have washing in my machine","0","1"
"My back hurts...really bad","0","1"
"Night of the cookers with my dad","0","0"
"My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal","0","1"
" Nope I am in Coquitlam","0","0"
" Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol","0","1"
"  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!","1","0"
"Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.","0","0"
"Few Bevvies 2day in twn..great on a day off!!","1","0"
"first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!","1","0"
" good morning","1","0"
" its the best show EVER!","1","0"
"URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES","0","1"
